"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"2/5/2023 5 p.m. EST",14813,15170,11905,-2908
ISNE,"2/5/2023 6 p.m. EST",15996,16350,13103,-2893
ISNE,"2/5/2023 7 p.m. EST",16061,16430,13028,-3033
ISNE,"2/5/2023 8 p.m. EST",15621,15690,12544,-3077
ISNE,"2/5/2023 9 p.m. EST",15021,15110,11971,-3050
ISNE,"2/5/2023 10 p.m. EST",14630,14330,11656,-2974
ISNE,"2/5/2023 11 p.m. EST",13956,13430,11120,-2836
ISNE,"2/6/2023 12 a.m. EST",13135,12690,10101,-3034
ISNE,"2/6/2023 1 a.m. EST",12426,11850,9412,-3014
ISNE,"2/6/2023 2 a.m. EST",12347,11530,9192,-3155
ISNE,"2/6/2023 3 a.m. EST",12240,11410,9051,-3189
ISNE,"2/6/2023 4 a.m. EST",12540,11470,9237,-3303
ISNE,"2/6/2023 5 a.m. EST",12659,11850,9675,-2984
ISNE,"2/6/2023 6 a.m. EST",12782,12800,9993,-2789
ISNE,"2/6/2023 7 a.m. EST",14271,14330,10966,-3305
ISNE,"2/6/2023 8 a.m. EST",15169,15210,11657,-3512
ISNE,"2/6/2023 9 a.m. EST",15037,15060,11584,-3453
ISNE,"2/6/2023 10 a.m. EST",14315,14200,11136,-3179
ISNE,"2/6/2023 11 a.m. EST",14091,13290,11017,-3074
ISNE,"2/6/2023 12 p.m. EST",13786,12910,11150,-2636
ISNE,"2/6/2023 1 p.m. EST",13687,12860,11283,-2404
ISNE,"2/6/2023 2 p.m. EST",13656,13030,11254,-2402
ISNE,"2/6/2023 3 p.m. EST",14032,13400,11526,-2506
ISNE,"2/6/2023 4 p.m. EST",14542,14060,11866,-2676
ISNE,"2/6/2023 5 p.m. EST",15046,15030,12597,-2449
ISNE,"2/6/2023 6 p.m. EST",16199,16190,13964,-2235
ISNE,"2/6/2023 7 p.m. EST",16350,16440,13949,-2401
ISNE,"2/6/2023 8 p.m. EST",15935,16020,13453,-2482
ISNE,"2/6/2023 9 p.m. EST",15369,15390,13151,-2218
ISNE,"2/6/2023 10 p.m. EST",14535,14540,12246,-2289
ISNE,"2/6/2023 11 p.m. EST",13518,13560,11094,-2424
ISNE,"2/7/2023 12 a.m. EST",13053,12720,10336,-2717
ISNE,"2/7/2023 1 a.m. EST",12818,12210,10365,-2453
ISNE,"2/7/2023 2 a.m. EST",12798,11960,10395,-2403
ISNE,"2/7/2023 3 a.m. EST",12763,11870,10427,-2336
ISNE,"2/7/2023 4 a.m. EST",12876,11950,10505,-2371
ISNE,"2/7/2023 5 a.m. EST",13287,12360,10878,-2409
ISNE,"2/7/2023 6 a.m. EST",13572,13340,11309,-2263
ISNE,"2/7/2023 7 a.m. EST",15034,14880,12545,-2489
ISNE,"2/7/2023 8 a.m. EST",15741,15500,13699,-2042
ISNE,"2/7/2023 9 a.m. EST",14726,15000,12507,-2219
ISNE,"2/7/2023 10 a.m. EST",13619,14020,11309,-2310
ISNE,"2/7/2023 11 a.m. EST",13376,13330,11091,-2285
ISNE,"2/7/2023 12 p.m. EST",13061,12950,11276,-1785
ISNE,"2/7/2023 1 p.m. EST",12695,12830,10578,-2117
ISNE,"2/7/2023 2 p.m. EST",,13200,,
ISNE,"2/7/2023 3 p.m. EST",,13570,,
